type,type_num,size_adv,size_out_pct,days_fm_last,mkt_cap,return_30d_num,return 30d,return 90d,name,code,director,date,shares,rec_date
BUY,1,0.065608364,0.01121697,1,7217,1,0.05,0.11,Consun Pharmaceutical Group Ltd.,1681,Li Qian,4/7/2017,"98,000",20170706
SELL,-1,0.002837995,0.000313283,0,36708,-1,-0.01,0.03,Haitian International Holdings Ltd.,1882,Guo Mingguang,4/7/2017,"5,000",20170706
BUY,1,0.157386874,0.010168493,0,3619,1,0.02,0.07,Union Medical Healthcare Ltd.,2138,Luk Kun Shing Ben,4/7/2017,"100,000",20170706
BUY,1,4.406832479,0.284717802,0,3619,1,0.02,0.07,Union Medical Healthcare Ltd.,2138,TANG Chi Fai,4/7/2017,"2,800,000",20170706
BUY,1,4.406832479,0.284717802,0,3619,1,0.02,0.07,Union Medical Healthcare Ltd.,2138,TANG Chi Fai,4/7/2017,"2,800,000",20170707
BUY,1,4.406832479,0.284717802,0,3619,1,0.02,0.07,Union Medical Healthcare Ltd.,2138,TANG Chi Fai,4/7/2017,"2,800,000",20170710
BUY,1,0.193074918,0.037649468,1,1052,1,0.03,0.25,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,4/7/2017,"300,000",20170707
BUY,1,0.338524689,0.066012068,0,1052,1,0.03,0.25,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,4/7/2017,"526,000",20170707
SELL,-1,0.064358306,0.012549823,0,1052,1,0.03,0.25,Hop Fung Group Holdings Ltd.,2320,Yip Kwok Kwan,4/7/2017,"100,000",20170707
BUY,1,0.606757237,0.100064041,1,1824,1,0.22,0.37,Eagle Nice (International) Holdings Ltd.,2368,Chung Yuk Sing,4/7/2017,"500,000",20170706
BUY,1,0.112146847,0.022400231,0,883,-1,-0.17,0.27,Sky Light Holdings Ltd.,3882,Tang Wing Fong Terry,4/7/2017,"192,000",20170707
BUY,1,0.0074957,0.00196892,1,461,-1,-0.06,-0.02,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,4/7/2017,"112,000",20170710
BUY,1,0.191528186,0.02216018,1,343,1,0.02,0.57,China Health Group Inc.,8225,GUO XIA,4/7/2017,"220,000",20171106
BUY,1,0.810024271,0.045833333,0,214,1,0.16,0.05,Allied Sustainability & Environmental Consultants Group Ltd.,8320,Kwok May Han Grace,4/7/2017,"550,000",20170706
BUY,1,0.810024271,0.045833333,0,214,1,0.16,0.05,Allied Sustainability & Environmental Consultants Group Ltd.,8320,Wu Dennis Pak Kit,4/7/2017,"550,000",20170706
BUY,1,0.089757697,0.026,1,1620,1,0.08,0.11,Hypebeast Ltd.,8359,Lee Yuen Tung Janice,4/7/2017,"520,000",20170731
BUY,1,0.089757697,0.026,0,1620,1,0.08,0.11,Hypebeast Ltd.,8359,Ma Pak Wing Kevin,4/7/2017,"520,000",20170731
BUY,1,0.134597219,0.008911742,1,4141,-1,-0.13,-0.25,China Baoli Technologies Holdings Ltd.,164,Yeung Chun Wai Anthony,5/7/2017,"3,075,000",20171218
BUY,1,0.016646849,0.008388052,1,35330,1,0.07,0.37,BYD Electronic (International) Co. Ltd.,285,Wang Nian-qiang,5/7/2017,"189,000",20170705
BUY,1,0.448874204,0.010500998,1,644,1,0.02,0.07,Yau Lee Holdings Ltd.,406,Wong Ip Kuen,5/7/2017,"46,000",20170707
BUY,1,0.038845858,0.002387971,0,2559,1,0.03,0.11,Aeon Credit Service (Asia) Co. Ltd.,900,FUKAYAMA TOMOHARU,5/7/2017,"10,000",20170706
BUY,1,4.213603099,0.462033056,0,6922,-1,-0.15,-0.14,China LNG Group Ltd.,931,Kan Che Kin Billy Albert,5/7/2017,"26,000,000",20170706
BUY,1,18.92747164,7.741365462,0,610,-1,-0.06,0.07,Da Sen Holdings Group Ltd.,1580,KE MINGCAI,5/7/2017,"69,393,600",20170710
BUY,1,0.629547497,0.040673972,1,3619,1,0.06,0.11,Union Medical Healthcare Ltd.,2138,TANG Chi Fai,5/7/2017,"400,000",20170710
BUY,1,0.007838021,0.002013423,0,37682,1,0.08,0.42,Lee & Man Paper Manufacturing Ltd.,2314,Lee Man Bun,5/7/2017,"90,000",20170710
BUY,1,0.236838566,0.046183348,1,1052,1,0.02,0.32,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,5/7/2017,"368,000",20170707
SELL,-1,0.133107465,0.01666781,2,1728,1,0.03,0.11,Meilleure Health International Industry Group Ltd.,2327,Chau Chi Wai,5/7/2017,"600,000",20170706
BUY,1,0.116819632,0.023333574,1,883,-1,-0.14,0.32,Sky Light Holdings Ltd.,3882,Tang Wing Fong Terry,5/7/2017,"200,000",20170707
BUY,1,1.176422558,0.133728943,0,6894,1,0.28,0.63,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,5/7/2017,"2,190,000",20170706
BUY,1,1.176422558,0.133728943,0,6894,1,0.28,0.63,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,5/7/2017,"2,190,000",20170706
BUY,1,0.002409332,0.000632867,1,461,-1,-0.06,0,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,5/7/2017,"36,000",20170710
BUY,1,0.078276962,0.004204212,3,2773,-1,-0.01,0.19,Hoifu Energy Group Ltd.,7,Hui Chi Ming,6/7/2017,"106,000",20170929
BUY,1,0.078276962,0.004204212,0,2773,-1,-0.01,0.19,Hoifu Energy Group Ltd.,7,Hui Chi Ming,6/7/2017,"106,000",20180102
BUY,1,0.039394308,0.002608315,1,4141,-1,-0.11,-0.21,China Baoli Technologies Holdings Ltd.,164,Yeung Chun Wai Anthony,6/7/2017,"900,000",20171218
BUY,1,0.161899091,0.004706883,3,420,-1,-0.11,-0.1,Goldbond Group Holdings Ltd.,172,"Wong Yu Lung, Charles",6/7/2017,"130,000",20170707
SELL,-1,1.102513266,0.031322977,0,445,-1,-0.06,-0.08,"China Haisheng Juice Holdings Co., Ltd.",359,Zhao Chongjun,6/7/2017,"404,000",20170710
SELL,-1,1.550068157,0.044038245,0,445,-1,-0.06,-0.08,"China Haisheng Juice Holdings Co., Ltd.",359,Zhao Chongjun,6/7/2017,"568,000",20170711
BUY,1,0.78065079,0.018262605,1,644,1,0.02,0.1,Yau Lee Holdings Ltd.,406,Wong Ip Kuen,6/7/2017,"80,000",20170707
SELL,-1,0.001137289,0.000135995,3,2912,-1,-0.04,0.27,Tenwow International Holdings Ltd.,1219,Shen Yalong,6/7/2017,"3,000",20170724
BUY,1,0.103972818,0.032,1,432,-1,-0.03,0.14,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,6/7/2017,"256,000",20170710
BUY,1,0.081900383,0.019333333,0,345,1,0.01,0.05,Pantronics Holdings Ltd.,1611,Hsu Simon Nai-Cheng,6/7/2017,"58,000",20170710
BUY,1,1.829826167,0.119099229,0,348,-1,-0.03,-0.08,Man King Holdings Ltd.,2193,Lo Yuen Cheong,6/7/2017,"500,000",20170710
BUY,1,0.037099967,0.009530201,1,37682,1,0.06,0.4,Lee & Man Paper Manufacturing Ltd.,2314,Lee Man Chun Raymond,6/7/2017,"426,000",20170711
BUY,1,1.096665532,0.21384898,1,1052,-1,-0.05,0.25,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,6/7/2017,"1,704,000",20170711
BUY,1,0.118465644,0.014834351,1,1728,1,0.03,0.11,Meilleure Health International Industry Group Ltd.,2327,Chau Chi Wai,6/7/2017,"534,000",20170707
BUY,1,0.104212775,0.011846308,1,6894,1,0.26,0.6,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,6/7/2017,"194,000",20170707
BUY,1,0.104212775,0.011846308,0,6894,1,0.26,0.6,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,6/7/2017,"194,000",20170707
SELL,-1,89.73916163,1.888884793,0,2685,-1,-0.1,4.05,Yunbo Digital Synergy Group Ltd.,8050,HO Yeung,6/7/2017,"25,618,000",20170803
BUY,1,0.002677036,0.000703186,1,461,-1,-0.06,0.01,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,6/7/2017,"40,000",20170710
BUY,1,5.312090997,0.137697061,0,973,1,0.11,0.14,China Primary Energy Holdings Ltd.,8117,Ma Zheng,6/7/2017,"1,410,000",20170710
BUY,1,0.522349598,0.060436856,2,343,-1,-0.25,0.1,China Health Group Inc.,8225,GUO XIA,6/7/2017,"600,000",20171106
BUY,1,0.149445315,0.004344815,1,420,-1,-0.1,-0.1,Goldbond Group Holdings Ltd.,172,"Wong Yu Lung, Charles",7/7/2017,"120,000",20170710
BUY,1,0.306766251,0.008029994,3,196,-1,-0.03,0,HKC International Holdings Ltd.,248,Chan Chung Yin Roy,7/7/2017,"100,000",20170710
SELL,-1,1.550068157,0.044038245,1,445,-1,-0.08,-0.11,"China Haisheng Juice Holdings Co., Ltd.",359,Zhao Chongjun,7/7/2017,"568,000",20170711
BUY,1,0.073276339,0.028569808,0,6160,-1,-0.05,-0.58,Dingyi Group Investment Ltd.,508,LI Kwong Yuk,7/7/2017,"2,000,000",20170712
BUY,1,0.243686291,0.075,1,432,-1,-0.01,0.16,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,7/7/2017,"600,000",20170712
BUY,1,0.590529132,0.055779262,0,5512,1,0.2,0.37,China Tian Lun Gas Holdings Ltd.,1600,Zhang Yingcen,7/7/2017,"552,000",20170713
BUY,1,2.968373098,0.557079206,0,574,-1,-0.07,-0.12,Wuyi International Pharmaceutical Co. Ltd.,1889,Chen Chengqing,7/7/2017,"16,000,000",20170712
BUY,1,0.087089124,0.022371365,1,37682,1,0.07,0.41,Lee & Man Paper Manufacturing Ltd.,2314,Lee Man Chun Raymond,7/7/2017,"1,000,000",20170712
BUY,1,0.175229448,0.035000362,2,883,-1,-0.14,0.3,Sky Light Holdings Ltd.,3882,Tang Wing Fong Terry,7/7/2017,"300,000",20170712
BUY,1,0.077890991,0.008854199,1,6894,1,0.25,0.59,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,7/7/2017,"145,000",20170710
BUY,1,0.077890991,0.008854199,0,6894,1,0.25,0.59,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,7/7/2017,"145,000",20170710
BUY,1,3.315347573,0.085938591,1,973,1,0.05,0.07,China Primary Energy Holdings Ltd.,8117,Ma Zheng,7/7/2017,"880,000",20170711
SELL,-1,3.417653253,4.818910256,0,337,1,0.11,-0.3,Luen Wong Group Holdings Ltd.,8217,Wong Che Kwo,7/7/2017,"60,140,000",20170710
SELL,-1,3.417653253,4.818910256,0,337,1,0.11,-0.3,Luen Wong Group Holdings Ltd.,8217,Wong Wing Wah,7/7/2017,"60,140,000",20170710
BUY,1,0.208939839,0.024174742,1,343,-1,-0.19,0.18,China Health Group Inc.,8225,GUO XIA,7/7/2017,"240,000",20171106
SELL,-1,0.057625894,0.009901382,6,113116,1,0.07,0.16,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,10/7/2017,"1,000,000",20170712
BUY,1,1.347522822,0.080968539,0,3918,1,0.21,0.17,"Landsea Green Properties Co., Ltd.",106,Tian Ming,10/7/2017,"3,172,000",20170711
BUY,1,0.311344406,0.009051697,3,420,-1,-0.15,-0.1,Goldbond Group Holdings Ltd.,172,"Wong Yu Lung, Charles",10/7/2017,"250,000",20170711
BUY,1,0.100571775,0.039212062,3,6160,-1,-0.13,-0.6,Dingyi Group Investment Ltd.,508,LI Kwong Yuk,10/7/2017,"2,745,000",20170712
SELL,-1,0.071730145,0.012409065,0,26432,1,0.03,0.11,Shenzhen Investment Ltd.,604,LIU CHONG,10/7/2017,"1,000,000",20170712
BUY,1,1.157258676,0.068538736,0,207,1,0.05,0.04,Global Mastermind Capital Ltd.,905,MUNG KIN KEUNG,10/7/2017,"480,000",20170712
BUY,1,0.343570714,0.037673465,5,6922,1,0.11,-0.13,China LNG Group Ltd.,931,Kan Che Kin Billy Albert,10/7/2017,"2,120,000",20170711
BUY,1,0.113720269,0.035,3,432,-1,-0.09,0.07,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,10/7/2017,"280,000",20170713
BUY,1,0.704462742,0.066541022,3,5512,1,0.29,0.39,China Tian Lun Gas Holdings Ltd.,1600,Zhang Yingcen,10/7/2017,"658,500",20170714
BUY,1,0.031065662,0.007333333,4,345,-1,-0.01,0.05,Pantronics Holdings Ltd.,1611,Hsu Simon Nai-Cheng,10/7/2017,"22,000",20170713
BUY,1,0.036979759,0.003427652,0,32442,1,0.13,0.06,Champion Real Estate Investment Trust,2778,"Wong Ka Ki, Ada",10/7/2017,"200,000",20171205
BUY,1,0.025784604,0.002931045,3,6894,1,0.3,0.66,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,10/7/2017,"48,000",20170711
BUY,1,0.025784604,0.002931045,0,6894,1,0.3,0.66,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,10/7/2017,"48,000",20170711
BUY,1,0.000535407,0.000140637,4,461,-1,-0.04,0.03,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,10/7/2017,"8,000",20170713
SELL,-1,3.684177925,5.194711538,3,337,-1,-0.12,-0.4,Luen Wong Group Holdings Ltd.,8217,Wong Che Kwo,10/7/2017,"64,830,000",20170710
SELL,-1,3.684177925,5.194711538,0,337,-1,-0.12,-0.4,Luen Wong Group Holdings Ltd.,8217,Wong Wing Wah,10/7/2017,"64,830,000",20170710
BUY,1,0.034823307,0.004029124,3,343,-1,-0.11,0.25,China Health Group Inc.,8225,GUO XIA,10/7/2017,"40,000",20171106
SELL,-1,0.031636616,0.005435859,1,113116,1,0.05,0.15,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,11/7/2017,"549,000",20170713
BUY,1,0.030776062,0.011999319,1,6160,-1,-0.13,-0.61,Dingyi Group Investment Ltd.,508,LI Kwong Yuk,11/7/2017,"840,000",20170712
BUY,1,89.76469797,5.316321258,1,207,-1,-0.2,-0.17,Global Mastermind Capital Ltd.,905,MUNG KIN KEUNG,11/7/2017,"37,232,000",20170712
BUY,1,0.554561719,0.009735601,0,313,-1,-0.04,-0.01,Travel Expert (Asia) Enterprises Ltd.,1235,CHENG HANG FAN,11/7/2017,"50,000",20170717
BUY,1,0.554561719,0.009735601,0,313,-1,-0.04,-0.01,Travel Expert (Asia) Enterprises Ltd.,1235,KO WAI MING DANIEL,11/7/2017,"50,000",20170717
BUY,1,0.415616971,0.039257687,1,5512,1,0.29,0.38,China Tian Lun Gas Holdings Ltd.,1600,Zhang Yingcen,11/7/2017,"388,500",20170717
BUY,1,0.107317743,0.025333333,1,345,-1,-0.02,0.03,Pantronics Holdings Ltd.,1611,Hsu Simon Nai-Cheng,11/7/2017,"76,000",20170714
BUY,1,2.040756505,0.382991954,4,574,1,0.01,-0.2,Wuyi International Pharmaceutical Co. Ltd.,1889,Chen Chengqing,11/7/2017,"11,000,000",20170713
BUY,1,0.055469639,0.005141478,1,32442,1,0.12,0.04,Champion Real Estate Investment Trust,2778,"Wong Ka Ki, Ada",11/7/2017,"300,000",20171205
BUY,1,0.142352501,0.016181813,1,6894,1,0.24,0.62,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,11/7/2017,"265,000",20170712
BUY,1,0.142352501,0.016181813,0,6894,1,0.24,0.62,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,11/7/2017,"265,000",20170712
BUY,1,0.001606221,0.000421911,1,461,-1,-0.06,0.02,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,11/7/2017,"24,000",20170713
SELL,-1,5.809555904,8.19150641,1,337,-1,-0.14,-0.39,Luen Wong Group Holdings Ltd.,8217,Wong Che Kwo,11/7/2017,"102,230,000",20170711
SELL,-1,5.809555904,8.19150641,0,337,-1,-0.14,-0.39,Luen Wong Group Holdings Ltd.,8217,Wong Wing Wah,11/7/2017,"102,230,000",20170711
BUY,1,0.017411653,0.002014562,1,343,-1,-0.11,0.25,China Health Group Inc.,8225,GUO XIA,11/7/2017,"20,000",20171106
SELL,-1,7.748953393,4.050925926,0,518,-1,-0.08,-0.15,Winto Group (Holdings) Ltd.,8238,Lan Zhi Cheng,11/7/2017,"350,000,000",20170712
SELL,-1,0.05768352,0.009911284,1,113116,1,0.03,0.21,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,12/7/2017,"1,001,000",20170714
BUY,1,0.214678967,0.005022216,6,644,1,0.02,0.09,Yau Lee Holdings Ltd.,406,Wong Ip Kuen,12/7/2017,"22,000",20170714
BUY,1,0.487027097,0.038720846,0,881,1,0.36,0.48,China Dynamics (Holdings) Ltd.,476,Cheung Ngan,12/7/2017,"1,950,000",20170714
BUY,1,0.132080601,0.051497079,1,6160,-1,-0.17,-0.61,Dingyi Group Investment Ltd.,508,LI Kwong Yuk,12/7/2017,"3,605,000",20170713
BUY,1,0.497824025,0.0282438,0,905,-1,-0.05,-0.23,Prosperity International Holdings (H.K.) Ltd.,803,Wong Ben Koon,12/7/2017,"3,600,000",20170717
BUY,1,0.497824025,0.0282438,0,905,-1,-0.05,-0.23,Prosperity International Holdings (H.K.) Ltd.,803,Wong Ben Koon,12/7/2017,"3,600,000",20170719
BUY,1,38.53671391,2.282339895,1,207,-1,-0.17,-0.13,Global Mastermind Capital Ltd.,905,MUNG KIN KEUNG,12/7/2017,"15,984,000",20170713
BUY,1,0.461379378,0.142,2,432,-1,-0.08,0.18,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,12/7/2017,"1,136,000",20170713
BUY,1,0.718905031,0.067905189,1,5512,1,0.29,0.36,China Tian Lun Gas Holdings Ltd.,1600,Zhang Yingcen,12/7/2017,"672,000",20170718
BUY,1,0.298473964,0.028192779,0,5512,1,0.29,0.36,China Tian Lun Gas Holdings Ltd.,1600,Zhang Yingcen,12/7/2017,"279,000",20170718
SELL,-1,1361.641287,49.14060559,0,426,-1,-0.16,-0.06,Highlight China IoT International Ltd.,1682,Gao Zhiping,12/7/2017,"322,326,500",20170718
SELL,-1,1361.641287,49.14060559,0,426,-1,-0.16,-0.06,Highlight China IoT International Ltd.,1682,Gao Zhiyin,12/7/2017,"322,326,500",20170718
BUY,1,0.624275567,0.121733281,6,1052,-1,-0.05,0.23,Hop Fung Group Holdings Ltd.,2320,Hui Sum Tai,12/7/2017,"970,000",20170714
BUY,1,1.298750612,0.253255424,0,1052,-1,-0.05,0.23,Hop Fung Group Holdings Ltd.,2320,Hui Sum Tai,12/7/2017,"2,018,000",20170714
SELL,-1,0.431200649,0.084083813,0,1052,-1,-0.05,0.23,Hop Fung Group Holdings Ltd.,2320,HUI YUEN LI,12/7/2017,"670,000",20170714
BUY,1,0.031617694,0.002930642,1,32442,1,0.09,0.07,Champion Real Estate Investment Trust,2778,"Wong Ka Ki, Ada",12/7/2017,"171,000",20171205
BUY,1,0.162765313,0.018502224,1,6894,1,0.18,0.68,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,12/7/2017,"303,000",20170713
BUY,1,0.162765313,0.018502224,0,6894,1,0.18,0.68,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,12/7/2017,"303,000",20170713
BUY,1,0.005354071,0.001406372,1,461,-1,-0.09,-0.02,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,12/7/2017,"80,000",20170717
SELL,-1,0.057625894,0.009901382,1,113116,-1,-0.01,0.16,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,13/7/2017,"1,000,000",20170717
SELL,-1,0.589462538,0.016746938,6,445,-1,-0.07,-0.03,"China Haisheng Juice Holdings Co., Ltd.",359,Gao Liang,13/7/2017,"216,000",20170717
BUY,1,0.034806261,0.013570659,1,6160,-1,-0.17,-0.61,Dingyi Group Investment Ltd.,508,LI Kwong Yuk,13/7/2017,"950,000",20170717
BUY,1,0.073427929,0.017333333,2,345,-1,-0.02,0.06,Pantronics Holdings Ltd.,1611,Hsu Simon Nai-Cheng,13/7/2017,"52,000",20170717
SELL,-1,0.025541958,0.002819549,9,36708,-1,-0.03,0.08,Haitian International Holdings Ltd.,1882,Guo Mingguang,13/7/2017,"45,000",20170714
SELL,-1,0.245479688,0.061476195,0,49490,-1,-0.08,0.04,Samsonite International S.A.,1910,GENDREAU KYLE FRANCIS,13/7/2017,"875,520",20170717
BUY,1,0.715664361,0.139554029,1,1052,-1,-0.1,0.13,Hop Fung Group Holdings Ltd.,2320,Hui Sum Tai,13/7/2017,"1,112,000",20170714
BUY,1,0.066553732,0.008333905,7,1728,-1,-0.03,0.05,Meilleure Health International Industry Group Ltd.,2327,Zhou Xuzhou,13/7/2017,"300,000",20170714
BUY,1,0.097811464,0.00906614,1,32442,1,0.09,0.05,Champion Real Estate Investment Trust,2778,"Wong Ka Ki, Ada",13/7/2017,"529,000",20171205
BUY,1,0.201442219,0.022898792,1,6894,1,0.14,0.53,China VAST Industrial Urban Development Co. Ltd.,6166,WANG Jianjun,13/7/2017,"375,000",20170714
BUY,1,0.201442219,0.022898792,0,6894,1,0.14,0.53,China VAST Industrial Urban Development Co. Ltd.,6166,ZHAO Ying,13/7/2017,"375,000",20170714
SELL,-1,0.000267704,7.03E-05,1,461,-1,-0.06,0.05,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,13/7/2017,"4,000",20170718
BUY,1,0.000267704,7.03E-05,0,461,-1,-0.06,0.05,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,13/7/2017,"4,000",20170718
BUY,1,0.487906743,0.011414128,2,644,1,0.02,0.13,Yau Lee Holdings Ltd.,406,Wong Ip Kuen,14/7/2017,"50,000",20170718
